Stroembom 50 AI1 1 0.0685;0.2868;0.7261;0.2578;0.1415;0.7188;0.0995;0.3626;0.6388;0.4115;0.5281;0.3948;0.1662;0.5317;0.322;0.4045;0.2851;0.7624;0.5249;0.014;0.3614;
Stroembom 75 AI1 1 0.4174;0.2607;0.7777;0.7323;0.5124;0.5946;0.499;0.0643;0.0524;0.0593;0.5648;0.8752;0.1314;0.9343;0.6665;0.1507;0.4252;0.2045;0.4667;0.2029;0.4094;
Stroembom 100 AI1 1 0.4785;0.0538;0.8777;0.4458;0.5008;0.4582;0.7401;0.2883;0.2478;0.4602;0.6701;0.032;0.0621;0.2077;0.8;0.1904;0.1964;0.4404;0.9789;0.5998;0.4227;
Stroembom 5 AI1 2 0.9639;0.6217;0.9418;0.4452;0.3041;0.7236;0.2385;0.112;0.9567;0.4968;0.3561;0.9725;0.0852;0.6394;0.9284;0.4369;0.0653;0.9027;0.646;0.2884;0.465;
Stroembom 10 AI1 2 0.6589;0.5513;0.9433;0.9777;0.4936;0.1085;0.0552;0.566;0.895;0.5374;0.4508;0.1906;0.0292;0.5996;0.5973;0.5884;0.4203;0.3745;0.4574;0.0437;0.9233;
Stroembom 25 AI1 2 0.6838;0.8862;0.9786;0.1664;0.5108;0.0154;0.2335;0.4675;0.904;0.4857;0.5253;0.7072;0.0325;0.1181;0.9617;0.0941;0.7229;0.7351;0.5263;0.2222;0.5741;
Stroembom 50 AI1 2 0.9497;0.5188;0.9684;0.2846;0.3651;0.0159;0.141;0.1307;0.9197;0.999;0.6492;0.1166;0.1899;0.4431;0.8478;0.22;0.0465;0.8047;0.8499;0.0431;0.4114;
Stroembom 75 AI1 2 0.7554;0.1681;0.9993;0.5851;0.1198;0.6553;0.0383;0.195;0.4898;0.1624;0.9606;0.4367;0.0988;0.924;0.2048;0.2593;0.7198;0.4768;0.2746;0.2028;0.4836;
Stroembom 100 AI1 2 0.4565;0.2944;0.6662;0.515;0.0652;0.7767;0.094;0.0017;0.372;0.0974;0.411;0.571;0.0442;0.2938;0.9333;0.676;0.3035;0.4422;0.453;0.3382;0.8496;
Stroembom 5 AI1 3 0.656;0.7128;0.9942;0.419;0.0835;0.7582;0.1659;0.4245;0.9237;0.9898;0.4324;0.3782;0.1202;0.3585;0.9812;0.1636;0.2214;0.223;0.7057;0.4088;0.1905;
Stroembom 10 AI1 3 0.9437;0.5234;0.4758;0.8827;0.0235;0.5205;0.1375;0.2811;0.7968;0.4996;0.2582;0.6176;0.0994;0.6823;0.1347;0.9157;0.5321;0.9617;0.9197;0.1714;0.7079;
PopravljenStroembom 5 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 10 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 25 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 50 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 75 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 100 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 5 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 10 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 25 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 50 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 75 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 100 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 5 Voronoi 3 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 10 Voronoi 3 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
PopravljenStroembom 5 AI1 1 0.6365;0.931;0.7396;0.2675;0.0928;0.5193;0.5449;0.2856;0.6225;0.589;0.9524;0.3983;0.0558;0.475;0.9883;0.536;0.1215;0.706;0.7016;0.5637;0.07;
PopravljenStroembom 10 AI1 1 0.3147;0.9428;0.6821;0.7;0.2592;0.3555;0.4664;0.2442;0.8178;0.4343;0.4202;0.8538;0.1427;0.4438;0.6656;0.5753;0.2115;0.5283;0.686;0.3126;0.0938;
PopravljenStroembom 25 AI1 1 0.5992;0.6515;0.5804;0.8248;0.0574;0.7499;0.8049;0.6825;0.9165;0.9856;0.4013;0.4064;0.1913;0.3101;0.8418;0.2548;0.7194;0.0956;0.7989;0.0459;0.6472;
PopravljenStroembom 50 AI1 1 0.9094;0.8065;0.6667;0.9148;0.0338;0.6769;0.2009;0.1421;0.8629;0.1577;0.4845;0.7725;0.0695;0.3038;0.8454;0.6403;0.2705;0.9134;0.5387;0.7165;0.837;
PopravljenStroembom 75 AI1 1 0.9244;0.6362;0.8672;0.6121;0.4271;0.8496;0.3055;0.7574;0.9599;0.614;0.3821;0.6571;0.1641;0.3787;0.6468;0.5871;0.4875;0.6082;0.9445;0.6363;0.3297;
PopravljenStroembom 100 AI1 1 0.9152;0.3703;0.7394;0.479;0.1238;0.8338;0.6309;0.2706;0.5351;0.1779;0.4692;0.0312;0.0395;0.6183;0.9811;0.7546;0.1954;0.0637;0.7504;0.286;0.784;
PopravljenStroembom 5 AI1 2 0.8523;0.695;0.9109;0.1631;0.4143;0.1259;0.2003;0.6258;0.2989;0.2236;0.2937;0.8229;0.1064;0.7007;0.8247;0.3549;0.0688;0.8821;0.8765;0.3923;0.0481;
PopravljenStroembom 10 AI1 2 0.6606;0.5617;0.9549;0.8502;0.154;0.4369;0.2393;0.0305;0.5568;0.923;0.2436;0.3751;0.1891;0.7348;0.7514;0.4366;0.786;0.359;0.5253;0.3218;0.9169;
PopravljenStroembom 25 AI1 2 0.6066;0.6622;0.4359;0.8802;0.0134;0.7488;0.4935;0.2574;0.256;0.1297;0.2898;0.5535;0.1696;0.6593;0.892;0.0613;0.6441;0.7384;0.0864;0.2499;0.9603;
PopravljenStroembom 50 AI1 2 0.667;0.5925;0.9499;0.5616;0.1026;0.0554;0.4359;0.6022;0.9162;0.2855;0.3838;0.6548;0.1053;0.4445;0.7972;0.4427;0.605;0.3282;0.1342;0.1492;0.8095;
PopravljenStroembom 75 AI1 2 0.697;0.5712;0.6102;0.4861;0.0705;0.4325;0.0653;0.0003;0.8189;0.2611;0.4147;0.5406;0.0543;0.6272;0.7137;0.646;0.1438;0.7374;0.6661;0.2718;0.3492;
PopravljenStroembom 100 AI1 2 0.9886;0.4133;0.756;0.4786;0.011;0.2252;0.181;0.2885;0.6286;0.9438;0.5218;0.814;0.1629;0.2532;0.2607;0.6636;0.6258;0.5285;0.0144;0.0599;0.6154;
PopravljenStroembom 5 AI1 3 0.763;0.7669;0.5348;0.284;0.1637;0.7152;0.1265;0.4269;0.0888;0.5866;0.3991;0.6985;0.1251;0.4683;0.372;0.8274;0.5507;0.2139;0.9975;0.0456;0.3845;
PopravljenStroembom 10 AI1 3 0.9765;0.8647;0.8169;0.2349;0.0918;0.7506;0.3705;0.9884;0.8473;0.695;0.4123;0.742;0.0923;0.3374;0.8035;0.557;0.0375;0.9016;0.1833;0.326;0.5349;

